"","created_at","id","full_text","lang","retweet_count","favorite_count"
"1","Tue Jun 02 02:14:43 +0000 2020",1267640760544964608,"@OsmarTerra Dr. @OsmarTerra, desafie estes sujeitos que NÃO USAM Ciencia ALGUMA, mentem, desconversam para um debat… https://t.co/1RJnxoPBfe","pt",0,0
"2","Tue Jun 02 01:28:18 +0000 2020",1267629078267510784,"a quem interessar possa: https://t.co/jCE51kLj2J programação, devops, Ciencia de Dados, bi e tal","pt",0,0
"3","Mon Jun 01 22:36:00 +0000 2020",1267585719352135680,"@Avanci83 E o povo que nega a Ciencia, as estatísticas,os dados,  só acreditam em teorias da conspiração, se consid… https://t.co/3BQW8OzZOR","pt",0,0
"4","Mon Jun 01 22:04:53 +0000 2020",1267577888485904384,"@gabrielammafra amo o conceito média de 4 anos de ciencia da computação (calculo, teoria da computação, banco de da… https://t.co/lDxfuc20Pv","pt",1,2
"5","Mon Jun 01 21:10:17 +0000 2020",1267564147094495232,"@samydana Vc acha que homens públicos são honestos e trabalham com dados técnicos?
Aquele papo de Ciencia não envol… https://t.co/ESltoN758i","pt",0,2
"6","Mon Jun 01 21:10:17 +0000 2020",1267564145794220032,"Ipiranga e Data Bootcamp promovem evento online e gratuito sobre Data Science | Meetup Data Science reunirá convida… https://t.co/ZFLRuQogcj","pt",0,1
"7","Mon Jun 01 21:10:16 +0000 2020",1267564144502493184,"@Sergio40180739 @daniel_bonn Amigo não me informo pelo zap. Eu não seria tão idiota. Me informo pela Ciencia,dados… https://t.co/MdXySfSx4S","pt",0,1
"8","Mon Jun 01 21:10:16 +0000 2020",1267564142807793664,"Fabricantes de sistemas do mundo revelam servidores com tecnologia NVIDIA A100 para aceleração de IA, Ciencia de Da… https://t.co/NqyUdnnDpp","pt",1,1
"9","Mon Jun 01 20:59:34 +0000 2020",1267561451876687872,"RT @dunossauro: Jovennns, hoje é dia de mais uma incrível live de python &lt;3

A incrível @mikaeriohana vai nos presentear com seus conhecime…","pt",0,3
"10","Mon Jun 01 20:57:18 +0000 2020",1267560879345803264,"@SiberetSiberet La ciencia dice que se han necesitado millones de años de evolución, que las especies han ido cambi… https://t.co/zhfBX1M42B","pt",0,3
"11","Sat May 30 02:04:20 +0000 2020",1266550984647544832,"@vaughan_marcelo @UOL Aos dois Gado burros (desculpem o pleonasmo) @marcos1914mm ela é uma primatóloga famosa e com… https://t.co/1p9EhozCK8","pt",0,0
"12","Thu May 28 21:49:15 +0000 2020",1266124401197621248,"RT @ClynsonOliveira: @OsmarTerra A estatística é a Ciencia de provar o que se quer por meios da disposição dos dados mais conveniente.
Não…","pt",0,1
"13","Thu May 28 21:46:31 +0000 2020",1266123712207761408,"RT @ClynsonOliveira: @OsmarTerra A estatística é a Ciencia de provar o que se quer por meios da disposição dos dados mais conveniente.
Não…","und",1,1
