created_at,id,full_text,lang,retweet_count,favorite_count
Tue Jun 02 02:14:43 +0000 2020,1267640760544964608,RT @_rbjn: Está sentindo falta de jornalistas negras e negros por aí? Fizemos uma lista cheia desses profissionais para você seguir aqui no…,pt,0,0
Tue Jun 02 01:28:18 +0000 2020,1267629078267510784,"RT @carolinelins: Alguns modelos de câmeras legais  
para quem quer iniciar na fotografia 

— thread https://t.co/tmM6wanScn",pt,0,0
Mon Jun 01 22:36:00 +0000 2020,1267585719352135680,"@stocco_g meu deus, que gostoso! E pelo visto fica bem grande, né? vai um monte de coisas",pt,0,0
Mon Jun 01 22:04:53 +0000 2020,1267577888485904384,"Acabei de tirar da geladeira.
Diana Machado, moradora da República Vegas e degustadora das iguarias da palmirinha, relata:  ""Ficou bom ein, porra! Ficou muito bom"" https://t.co/0AUhMobr5y",pt,0,2
Mon Jun 01 21:10:17 +0000 2020,1267564147094495233,"Depois quando a faca já estiver saindo limpinha, tire do fogo, espere esfriar um pouco e leve pra geladeira por uma hora. Depois disso tudo, desenforme. e voilà sua arte está pronta.",pt,0,2
Mon Jun 01 21:10:17 +0000 2020,1267564145794220038,"NÃO ESQUEÇAM DO PAPEL ALUMÍNIO. Cubra o pudim com o papel e deixe bem fechadinho. Ele é tudohhh. Leve a forma ao forno médio em banho maria por 50/60 minutos. Para saber se ele está bom, dê uma cutucada com a faca, se ela sair suja, ele deve ficar mais tempo no forno.",pt,0,1
Mon Jun 01 21:10:16 +0000 2020,1267564144502493186,"Depois que tudo ficar liso e bem liquido pode partir para a "" massa"" (não sei se é esse o termo masok). Bata no liquidificador os ovos, o leite, o leite condensado e o chocolate em pó. Fica bem líquido mesmo. Coloque a calda/caramelo na forma e coloque a massa logo em seguida.",pt,0,1
Mon Jun 01 21:10:16 +0000 2020,1267564142807793666,"Modo de preparo:
Coloca o açúcar na panela e deixa derreter até virar um caramelo. Cuidado para não queimá-lo. Quando estiver derretendo, coloque a água fervendo. Vai espirrar para todo lado, mas vai amolecendo o açúcar + água e misture com a colher de cacau peneirado.",pt,0,1
Mon Jun 01 20:59:34 +0000 2020,1267561451876687873,"Você vai precisar de:

3 ovos;
1 caixa de leite condensado;
1 1/2 da mesma medida do leite condensado só que de leite;
3 colheres de cacau em pó;

Calda:
1 copo de açúcar;
1 copo de água quente;
1 colher de cacau;",pt,0,3
Mon Jun 01 20:57:18 +0000 2020,1267560879345803267,"Um anjo me apresentou um pudim de chocolate mas o filho dela não quis me passar a receita 😪 Pois então que achei uma na internet e em 5 dias já estou no meu terceiro pudim de chocolate 🥰🙏

Ninguém perguntou, mas faz tempo que não apareço por aqui então segue a receita:",pt,0,3
Sat May 30 02:04:20 +0000 2020,1266550984647544833,A Argentina sem contágio de coronavirus em algumas grandes cidades e flexibilizando a quatentena SÓ agora. Esse era o país que eu queria.,pt,0,0
Thu May 28 21:49:15 +0000 2020,1266124401197621248,@regianehlima Ameiii,pt,0,1
Thu May 28 21:46:31 +0000 2020,1266123712207761409,@rakeuzebio Não,und,0,1
Thu May 28 13:18:57 +0000 2020,1265995980798820357,"@ohsilvestri Jogo político. Ele sabe que os empresários não gostam disso e são esses mesmos empresários q muitas vezes ""financiam"" a política. Ele vai abrir, vai subir os casos e depois ele vai ter uma justificativa com fatos para fechar dnv. Péssimo, né. Msm eu não apoiando, acho que é isso.",pt,0,1
Sat May 23 16:33:01 +0000 2020,1264232878969368576,"RT @beckdabeck: Tudo começou com o Léo Dias metendo o pau na Anitta, dizendo que existe candomblé do mal e insinuando que o candomblé vegan…",pt,0,0
Thu May 21 15:11:55 +0000 2020,1263487695952764929,@variosberto Foi peeeeessima eu sei,pt,0,1
Thu May 21 15:11:39 +0000 2020,1263487625857585160,@variosberto Fadac ao fracasso kk,pt,0,1
Wed May 20 17:55:17 +0000 2020,1263166417798651906,"Gente, eu fiz uma thread e eu tô me sentindo muito passada, tipo aquelas pessoas meio apocalípticas? Haha Mas sério, tenho lido mundo jornalismo de análise/especializado e tudo aponta pra pontinha de um iceberg tenebroso. Enfim, se eu fui louca me falem 🙏🙏🙏",pt,0,5
Wed May 20 17:47:49 +0000 2020,1263164538922446851,"Td isso pra que? Não sei, a gente que lute descobrindo. Na vdd, podemos ir atrás de cientistas políticos, jornalistas e tal, eles estudam isso e podem nos dizer. Vamos evitar passar raiva com hard news e tts do presidente - é isso que ele quer. Aliás, outro assunto pra thread. bj",pt,0,4
Wed May 20 17:47:48 +0000 2020,1263164537336991746,"Quem acha que ele é burro e não sabe o que está fazendo está enganado. Quem consegue ficar tranquilo com toda essa situação não entendeu que o pior pode vir a qualquer momento. 
Ele brinca e provoca: Bolsonaro faz e a massa reage, saca? Acho que Newton falaria algo melhor kk",pt,0,5
